time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.7800000000000004,0.00392497444042,-0.0101152160723,10.7151698396,0.00786398496999,0.00737173313414,0.0,0.00140787623802,-0.0235209410451,1.63922244817,0.0771906100507,0.0513742138498,0.0,411.66638229256193,412.8483201708891,413.1897071793267,413.97372619331645
0.8400000000000004,0.00383323070034,-0.0113352374184,10.8177882328,0.0120588920349,0.0116823605676,0.0,-0.00488235144456,-0.0166634295701,1.78117236289,0.0485273503309,0.0960989401315,0.0,451.76719294909213,455.3621768534716,452.8592244728404,450.5513414424696
0.9000000000000005,0.00326336602503,-0.0120621217109,10.9286758194,0.0147317879657,0.0178755952998,0.0,-0.0147531893613,-0.00726851809836,1.9148535394,0.0350875400868,0.114601028918,0.0,449.6655479290177,451.1707167534074,451.25430827323373,450.169253904055
0.9600000000000005,0.00198574426876,-0.0121899887198,11.0462957638,0.016826190051,0.0259858997322,0.0,-0.0286022905511,0.00321505881155,2.00563705223,0.0345426296246,0.159489697073,0.0,435.7031787630047,439.4555957316534,437.678848621774,437.6340382004179
1.0200000000000005,-0.000404837812971,-0.011579535191,11.1732417303,0.0185656298421,0.0359996045875,0.0,-0.0522486038953,0.0173580923945,2.22545481301,0.0145617943208,0.178633999831,0.0,476.51978394302836,478.005108680403,478.0625043380575,476.5378649875849
1.0800000000000005,-0.00441834274124,-0.0101048342089,11.312223884,0.0197287080606,0.0462829428371,0.0,-0.0827262585889,0.0319086584305,2.40686823078,0.0276107348581,0.150177707574,0.0,467.48743631854614,465.29098368802244,466.84118958310074,467.85816466668405
1.1400000000000006,-0.0105111850341,-0.00771899767085,11.4625037799,0.0210833241761,0.0553790152604,0.0,-0.121398909818,0.0477874341919,2.60197981112,0.00989511805881,0.154302941224,0.0,471.23368719682173,471.57264064478886,472.88819832496955,471.5216335637654
1.2000000000000006,-0.0189427900402,-0.00442624012686,11.621040703,0.021635974074,0.0645577730759,0.0,-0.160557328069,0.0620228215324,2.68233940208,0.00780587066017,0.150194857177,0.0,437.97295249274384,437.65360850469114,437.47999155985474,437.3058775124068
1.2600000000000007,-0.0298073258134,-0.000302126846184,11.7828578678,0.0221787749239,0.0746591264829,0.0,-0.202476070503,0.0754909874283,2.71142923219,0.0114195039726,0.190860179523,0.0,418.8972589077704,422.4459150127672,422.12294198846104,422.43454616238256
1.3200000000000007,-0.043682297889,0.00472797721632,11.9503226757,0.0224224277556,0.0859861180193,0.0,-0.261253707668,0.0922272609795,2.87023472321,-0.0177458228187,0.184274793532,0.0,463.6250396509821,463.1403790318803,463.41330630043245,461.11507096946815
